8obj_divangs_15 trans loss: nan, rot loss: nan
8obj_divangs_16 trans loss: nan, rot loss: nan
8obj_divangs_17 trans loss: nan, rot loss: nan
8obj_divangs_18 trans loss: 0.009247068445422441, rot loss: 0.016903948459365454
8obj_divangs_19 trans loss: 0.011454681221294649, rot loss: 0.01783040790445005
8obj_divangs_20 trans loss: 0.009218450588052178, rot loss: 0.016496746171289045
8obj_4cluster_10 trans loss: 0.0005602210607516075, rot loss: 4.153598790166995e-07
8obj_4cluster_11 trans loss: nan, rot loss: nan
8obj_4cluster_12 trans loss: nan, rot loss: nan
8obj_4cluster_13 trans loss: 0.0005602210607516075, rot loss: 4.153598790166995e-07
8obj_4cluster_14 trans loss: nan, rot loss: nan
8obj_4cluster_15 trans loss: nan, rot loss: nan
8obj_4cluster_16 trans loss: 0.018325278910762893, rot loss: 0.021145809033751985
8obj_4cluster_17 trans loss: 0.009089592879658534, rot loss: 0.01910094950477482
8obj_4cluster_18 trans loss: 0.04226994547992348, rot loss: 0.7409227310275979
8obj_4cluster_19 trans loss: 0.05708289652419664, rot loss: 0.6086242200695563
8obj_4cluster_20 trans loss: 0.03758810636783805, rot loss: 0.5739413663046196
7obj_divangs_10 trans loss: 0.041234456835885724, rot loss: 1.268354922618522
7obj_divangs_11 trans loss: 0.041234456835885724, rot loss: 1.268354922618522
7obj_divangs_12 trans loss: 0.041234456835885724, rot loss: 1.268354922618522
7obj_divangs_13 trans loss: 0.02497963278445059, rot loss: 0.040596901108892046
7obj_divangs_14 trans loss: 0.07623856801038349, rot loss: 0.1253512264995718
7obj_divangs_15 trans loss: 0.04684611983666276, rot loss: 0.06622169399240062
7obj_divangs_16 trans loss: 0.08073950105823287, rot loss: 1.4638497367082155
7obj_divangs_17 trans loss: 0.17092892699970652, rot loss: 1.4577579604948607
7obj_divangs_18 trans loss: 0.03162201696755641, rot loss: 0.044410106892645705
7obj_divangs_19 trans loss: 0.10950284037631924, rot loss: 0.03951159060626716
7obj_divangs_20 trans loss: 1.9489106675486904e-05, rot loss: 5.382938838749892e-08
7obj_4cluster_10 trans loss: 0.04594723394215887, rot loss: 1.2696280761602856
7obj_4cluster_11 trans loss: 0.04594723394215887, rot loss: 1.2696280761602856
7obj_4cluster_12 trans loss: 0.04594723428796556, rot loss: 1.2696280749403441
7obj_4cluster_13 trans loss: 0.04599277976843877, rot loss: 0.9143865788367784
7obj_4cluster_14 trans loss: 0.07422857157456836, rot loss: 1.960782965832701
7obj_4cluster_15 trans loss: 0.13772177845995617, rot loss: 3.29585147165941e-08
7obj_4cluster_16 trans loss: 0.12605899636242218, rot loss: 1.222687428839425e-07
7obj_4cluster_17 trans loss: 0.051157397231230035, rot loss: 0.03430992131725501
7obj_4cluster_18 trans loss: 0.0038868854886134107, rot loss: 1.533436789103162e-07
7obj_4cluster_19 trans loss: 0.02319352743637453, rot loss: 0.09380985399476371
7obj_4cluster_20 trans loss: 1.1088209197484783e-05, rot loss: 1.0093723575804445
shelf_divangs_10 trans loss: 0.047121218703280045, rot loss: 5.944524738949481e-08
shelf_divangs_11 trans loss: 0.055466297516742515, rot loss: 8.190857749559258e-08
shelf_divangs_12 trans loss: nan, rot loss: nan
shelf_divangs_13 trans loss: 0.02997376832590183, rot loss: 0.02396556431278261
shelf_divangs_14 trans loss: 0.026154193010319033, rot loss: 0.03687424507457105
shelf_divangs_15 trans loss: 0.04536534753197558, rot loss: 0.05025940041141414
shelf_divangs_16 trans loss: 0.041713290070174776, rot loss: 0.053309584071928484
shelf_divangs_17 trans loss: 0.04633657082294599, rot loss: 0.0680657965074608
shelf_divangs_18 trans loss: 0.04923149943415264, rot loss: 0.0856102097748281
shelf_divangs_19 trans loss: 0.0487154134243205, rot loss: 0.07646135437537097
shelf_divangs_20 trans loss: 0.03513747148888708, rot loss: 0.06276711299926256
shelf_4cluster_10 trans loss: 0.017300373719565637, rot loss: 0.04818190490284667
shelf_4cluster_11 trans loss: 0.01718084261518755, rot loss: 0.05029853802216282
shelf_4cluster_12 trans loss: 0.01722913061298352, rot loss: 0.04813797604625185
shelf_4cluster_13 trans loss: 0.02250322859265276, rot loss: 0.0574936319042492
shelf_4cluster_14 trans loss: 0.02251555810442535, rot loss: 0.06874107515301896
shelf_4cluster_15 trans loss: 0.025447888143510983, rot loss: 0.059560051073101486
shelf_4cluster_16 trans loss: 0.020152571688795886, rot loss: 0.04941106655150193
shelf_4cluster_17 trans loss: 0.021782059990221914, rot loss: 0.04151929087551084
shelf_4cluster_18 trans loss: 0.01968908216649062, rot loss: 0.042494432520470235
shelf_4cluster_19 trans loss: 0.0009102832238277803, rot loss: 1.4828696919201308e-07
shelf_4cluster_20 trans loss: 0.019320940436203412, rot loss: 0.03455303332191562
